city_code,zip_code,latitude,longitude
aast,64460,43.291176486,-0.081740504
abainville,55130,48.532750546,5.514720649
abancourt,59268,50.237015848,3.208145691
abancourt,60220,49.692898046,1.7692427190000002
abaucourt,54610,48.892374591,6.265494475
abaucourt hautecourt,55400,49.197206165,5.548912425
abbans dessous,25320,47.133644066,5.872795299
abbans dessus,25440,47.126422353,5.886627099
abbaretz,44170,47.556025135,-1.49321773
abbecourt,60430,49.361676072,2.155161556
abbecourt,2300,49.599684482,3.176852327
abbenans,25340,47.496247466,6.450747182
abbeville,80100,50.108461953,1.832118331
abbeville la riviere,91150,48.343284985,2.191127606
abbeville les conflans,54800,49.200485513,5.843731257
abbeville st lucien,60480,49.520385668,2.16536057
abbevillers,25310,47.427178279,6.922075563
abeilhan,34290,43.457635463,3.299816331
abelcourt,70300,47.793017587,6.277605629
abere,64160,43.387077237,-0.175022837
abergement la ronce,39500,47.064796871,5.3777147020000005
abergement le grand,39600,46.913794701,5.679217966
abergement le petit,39800,46.906556941,5.696846623
abergement les thesy,39110,46.913425736,5.946167798
abidos,64150,43.395117024,-0.627969424
abilly,37160,46.9411668,0.7346711570000001
abitain,64390,43.417347405,-0.997953891
abjat sur bandiat,24300,45.581694651,0.759660254
ablain st nazaire,62153,50.396735443,2.697561649
ablaincourt pressoir,80320,49.841540847,2.824162486
ablainzevelle,62116,50.153042129,2.741150105
ablancourt,51240,48.810539412,4.530056403
ableiges,95450,49.085390681,1.974876453
ablis,78660,48.528463606,1.850859166
ablon,14600,49.394167784,0.287092017
ablon sur seine,94480,48.724658139,2.4212571670000003
aboen,42380,45.412675338,4.126790977
aboncourt,54115,48.361121467,5.982634902
aboncourt,57920,49.256565568,6.354340588
aboncourt gesincourt,70500,47.767985813,5.972855676
aboncourt sur seille,57590,48.818456636,6.356104796
abondance,74360,46.26628001,6.731861436
abondant,28410,48.795241562,1.419603665
abos,64360,43.353788699,-0.5509991870000001
abreschviller,57560,48.601780036,7.155639154
abrest,3200,46.096050566,3.449986435
abries ristolas,5460,44.774752599,6.967890004
abscon,59215,50.327672259,3.297955363
abzac,33230,45.01075997,-0.129489872
abzac,16500,46.099584226,0.7158761920000001
accolans,25250,47.490214573,6.534915475
accons,7160,44.888443768,4.392010929
accous,64490,42.923528898,-0.6135898040000001
achain,57340,48.916241554,6.590970262
achen,57412,49.046037232,7.184575993
achenheim,67204,48.580621944,7.625748873
acheres,18250,47.282653733,2.458761486
acheres,78260,48.967914935,2.065775509
acheres la foret,77760,48.348745542,2.564115074
achery,2800,49.694004156,3.397491579
acheux en amienois,80560,50.071730235,2.530600587
acheux en vimeu,80210,50.066457284,1.670382248
acheville,62320,50.384603761,2.882479545
achey,70180,47.577466304,5.607388119
achicourt,62217,50.272272653,2.755768001
achiet le grand,62121,50.132750794,2.778947846
achiet le petit,62121,50.125895179,2.755440093
achun,58110,47.129277559,3.664497222
achy,60690,49.556684427,1.972241222
acigne,35690,48.146472503,-1.519156922
aclou,27800,49.165580435,0.698765378
acon,27570,48.769859509,1.104718837
acoua,97630,-12.724026219,45.068896069
acq,62144,50.349072613,2.655012792
acquigny,27400,49.164558704,1.176307129
acquin westbecourt,62380,50.729243721,2.077018046
acy,2200,49.346919586,3.418183101
acy en multien,60620,49.108868478,2.954495403
acy romance,8300,49.491790397,4.327623192
adaincourt,57580,49.006111849,6.443765909
adainville,78113,48.72032203,1.662453862
adam les passavant,25360,47.304423439,6.368961844
adam les vercel,25530,47.163652359,6.390747202
adamswiller,67320,48.906130415,7.201500348
adast,65260,42.974476759,-0.076804788
ade,65100,43.141350934,-0.025904404
adelange,57380,49.008115022,6.605699558
adelans et le val de bithaine,70200,47.706717531,6.395819289
adervielle pouchergues,65240,42.795853294,0.385451223
adilly,79200,46.701598921,-0.315682655
adinfer,62116,50.193591382,2.705666569
adissan,34230,43.535005474,3.426029227
adon,45230,47.764264401,2.798142383
adriers,86430,46.264597041,0.79007028
afa,20167,41.984099158,8.798384636
affieux,19260,45.507912414,1.767791721
affleville,54800,49.263994959,5.753605265
affoux,69170,45.843773423,4.413312279
affracourt,54740,48.457907449,6.165471074
affringues,62380,50.690271695,2.074841059
agassac,31230,43.372367868,0.886030682
agde,34300,43.309295818,3.48413177
agel,34210,43.347960858,2.853529202
agen,47000,44.202826475,0.6257305230000001
agen d aveyron,12630,44.351284364,2.694054322
agencourt,21700,47.125046661,4.985308654
agenville,80370,50.17168719,2.107640449
agenvillers,80150,50.179603631,1.924144229
ageville,52340,48.112373641,5.337814152
agey,21410,47.287287254,4.762807306
aghione,20270,42.09858371,9.41182181
agincourt,54770,48.729826659,6.235463434
agme,47350,44.489430686,0.34048455
agnac,47800,44.641053484,0.382996042
agnat,43100,45.344948577,3.450247086
agneaux,50180,49.116050454,-1.129597817
agnetz,60600,49.396148302,2.382384446
agnez les duisans,62161,50.310333074,2.6502061660000003
agnicourt et sechelles,2340,49.716473106,3.961000078
agnieres,62690,50.353764322,2.608250085
agnin,38150,45.336168878,4.8603340710000005
agnos,64400,43.153436315,-0.630450868
agny,62217,50.252971563,2.760611801
agon coutainville,50230,49.037646069,-1.581398282
agonac,24460,45.281594362,0.745371185
agones,34190,43.900869518,3.726913559
agonges,3210,46.618364598,3.148778876
agos vidalos,65400,43.039825353,-0.075185773
agris,16110,45.77640727,0.327851647
agudelle,17500,45.382903159,-0.469336458
aguessac,12520,44.161114617,3.068929066
aguilcourt,2190,49.393733209,3.967807801
aguts,81470,43.531875331,1.924898366
agy,14400,49.237565665,-0.7789675920000001
ahaxe alciette bascassan,64220,43.143769095,-1.163564022
ahetze,64210,43.404294744,-1.570713048
aheville,88500,48.284847582,6.199840423
ahuille,53940,48.024617891,-0.8724550670000001
ahun,23150,46.08634614,2.024392165
ahuy,21121,47.371214576,5.020496119
aibes,59149,50.234095061,4.096310256
aibre,25750,47.551605126,6.698455192
aicirits camou suhast,64120,43.353964995,-1.016259181
aiffres,79230,46.282658485,-0.41435841
aigaliers,30700,44.069335204,4.311125899
